brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,used_price
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,127,74.26
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,325,174.53
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,162,165.85
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,345,169.93
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,293,80.64
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,223,82.59
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,234,48.34
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,219,113.23
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,161,132.43
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,327,118.3
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,268,71.31
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,344,105.36
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,537,217.73
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,336,101.25
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,230,61.03
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,248,82.37
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,395,151.77
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,421,118.75
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,532,70.01
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,266,71.37
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,321,95.23
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,933,85.81
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,187,95.66
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,499,99.05
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,497,83.64
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,202,183.73
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,493,103.2
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,91,135.03
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,299,124.02
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,354,97.31
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,306,130.69
